locus_tag	ftype	length_bp	gene	EC_number	COG	product
DEOAGECF_00887	CDS	384				hypothetical protein
DEOAGECF_00888	CDS	438	gvpA_3			Gas vesicle structural protein
DEOAGECF_00889	CDS	774				hypothetical protein
DEOAGECF_00890	CDS	264				hypothetical protein
DEOAGECF_00891	CDS	720				hypothetical protein
DEOAGECF_00892	CDS	1167				hypothetical protein
DEOAGECF_00893	CDS	327	gvpA_4			Gas vesicle structural protein
DEOAGECF_00894	CDS	780				hypothetical protein
DEOAGECF_00895	CDS	183				hypothetical protein
DEOAGECF_00896	CDS	285				hypothetical protein
DEOAGECF_00897	CDS	171				hypothetical protein
DEOAGECF_00898	CDS	840	COQ5_3	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
DEOAGECF_00899	CDS	1506	yegS_1	2.7.1.-		lipid kinase YegS
DEOAGECF_00900	CDS	1620	ybiT_1		COG0488	putative ABC transporter ATP-binding protein YbiT
DEOAGECF_00901	CDS	1122				putative protein
DEOAGECF_00902	CDS	279				hypothetical protein
DEOAGECF_00903	CDS	543	yfkM	3.2.-.-	COG0693	General stress protein 18
DEOAGECF_00904	CDS	228				hypothetical protein
DEOAGECF_00905	CDS	408				hypothetical protein
DEOAGECF_00906	CDS	141				hypothetical protein
DEOAGECF_00907	CDS	2391	uvrA_2			UvrABC system protein A
DEOAGECF_00908	CDS	429				hypothetical protein
DEOAGECF_00909	CDS	417				hypothetical protein
DEOAGECF_00910	CDS	795	sigF_2		COG1191	RNA polymerase sigma factor SigF
DEOAGECF_00911	CDS	876				hypothetical protein
DEOAGECF_00912	CDS	1281				hypothetical protein
DEOAGECF_00913	CDS	1068			COG2220	putative protein
DEOAGECF_00914	CDS	627				hypothetical protein
DEOAGECF_00915	CDS	774			COG2220	putative protein
DEOAGECF_00916	CDS	402				hypothetical protein
DEOAGECF_00917	CDS	2082				hypothetical protein
DEOAGECF_00918	CDS	1413	adiC		COG0531	Arginine/agmatine antiporter
DEOAGECF_00919	CDS	1062				hypothetical protein
DEOAGECF_00920	CDS	1809				hypothetical protein
DEOAGECF_00921	CDS	426	osmC	1.11.1.15	COG1764	Peroxiredoxin OsmC
DEOAGECF_00922	CDS	723	narX_1		COG2180	Nitrate reductase-like protein NarX
DEOAGECF_00923	CDS	495	narX_2		COG2180	Nitrate reductase-like protein NarX
DEOAGECF_00924	CDS	1596	narY	1.7.5.1	COG1140	Respiratory nitrate reductase 2 beta chain
DEOAGECF_00925	CDS	3696	narG	1.7.5.1	COG5013	Nitrate reductase alpha subunit
DEOAGECF_00926	CDS	816				hypothetical protein
DEOAGECF_00927	CDS	864				hypothetical protein
DEOAGECF_00928	CDS	426				hypothetical protein
DEOAGECF_00929	CDS	816				hypothetical protein
DEOAGECF_00930	CDS	306		4.2.1.96	COG2154	Putative pterin-4-alpha-carbinolamine dehydratase
DEOAGECF_00931	CDS	741	COQ5_4	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
DEOAGECF_00932	CDS	1878	yesW	4.2.2.23		Rhamnogalacturonan endolyase YesW
DEOAGECF_00933	CDS	2922				hypothetical protein
DEOAGECF_00934	CDS	1737				hypothetical protein
DEOAGECF_00935	CDS	906	tam_1	2.1.1.144		Trans-aconitate 2-methyltransferase
DEOAGECF_00936	CDS	234				hypothetical protein
DEOAGECF_00937	CDS	837		1.-.-.-	COG0656	putative oxidoreductase/MSMEI_2347
DEOAGECF_00938	CDS	1785		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
DEOAGECF_00939	CDS	801				hypothetical protein
DEOAGECF_00940	CDS	171				hypothetical protein
DEOAGECF_00941	CDS	1218	btsS	2.7.13.3	COG3275	Sensor histidine kinase BtsS
DEOAGECF_00942	CDS	1746	mctC_1		COG4147	Monocarboxylic acid transporter
DEOAGECF_00943	CDS	360				hypothetical protein
DEOAGECF_00944	CDS	762	lytR		COG3279	Sensory transduction protein LytR
DEOAGECF_00945	CDS	504	asnC_1		COG1522	Regulatory protein AsnC
DEOAGECF_00946	CDS	822		3.5.3.18	COG1834	N(G),N(G)-dimethylarginine dimethylaminohydrolase
DEOAGECF_00947	CDS	1227	rocD	2.6.1.13	COG4992	Ornithine aminotransferase
DEOAGECF_00948	CDS	456	eryI	5.3.1.34	COG0698	D-erythrulose-4-phosphate isomerase
DEOAGECF_00949	CDS	1515	proP_2			Proline/betaine transporter
DEOAGECF_00950	CDS	723				hypothetical protein
DEOAGECF_00951	CDS	981				hypothetical protein
DEOAGECF_00952	CDS	1614	tap_2	3.4.14.-		Tripeptidyl aminopeptidase
DEOAGECF_00953	CDS	717	gph_1	3.1.3.18		Phosphoglycolate phosphatase
DEOAGECF_00954	CDS	3513	metH	2.1.1.13	COG0646	Methionine synthase
DEOAGECF_00955	CDS	765	gylR			Glycerol operon regulatory protein
DEOAGECF_00956	CDS	795	glpF_1		COG0580	putative glycerol uptake facilitator protein
DEOAGECF_00957	CDS	1539	glpK_2	2.7.1.30	COG0554	Glycerol kinase
DEOAGECF_00958	CDS	1617	glpD	1.1.5.3		Aerobic glycerol-3-phosphate dehydrogenase
DEOAGECF_00959	CDS	672	lutR_1		COG2186	HTH-type transcriptional regulator LutR
DEOAGECF_00960	CDS	990				hypothetical protein
DEOAGECF_00961	CDS	1230	mshC_1	6.3.1.13	COG0215	L-cysteine:1D-myo-inositol 2-amino-2-deoxy-alpha-D-glucopyranoside ligase
DEOAGECF_00962	CDS	831				hypothetical protein
DEOAGECF_00963	CDS	591				hypothetical protein
DEOAGECF_00964	CDS	687	gpmA_1	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
DEOAGECF_00965	CDS	996	corA_1		COG0598	Cobalt/magnesium transport protein CorA
DEOAGECF_00966	CDS	789				hypothetical protein
DEOAGECF_00967	CDS	1056		1.-.-.-		Putative coenzyme F420-dependent oxidoreductase
DEOAGECF_00968	CDS	999	yajO_2	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
DEOAGECF_00969	CDS	2496	recD2_1	3.6.4.12		ATP-dependent RecD-like DNA helicase
DEOAGECF_00970	CDS	786				hypothetical protein
DEOAGECF_00971	CDS	189				hypothetical protein
DEOAGECF_00972	CDS	774	chpC			Chaplin-C
DEOAGECF_00973	CDS	234	chpH			Chaplin-H
DEOAGECF_00974	CDS	1326	dapE_3	3.5.1.18		Succinyl-diaminopimelate desuccinylase
DEOAGECF_00975	tRNA	88				tRNA-Leu(gag)
DEOAGECF_00976	CDS	402				hypothetical protein
DEOAGECF_00977	CDS	702				hypothetical protein
DEOAGECF_00978	CDS	528		2.7.1.12	COG3265	Gluconokinase
DEOAGECF_00979	CDS	1398	gntT		COG2610	High-affinity gluconate transporter
DEOAGECF_00980	CDS	1023	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
DEOAGECF_00981	CDS	222				hypothetical protein
DEOAGECF_00982	CDS	654	betI_2			HTH-type transcriptional regulator BetI
DEOAGECF_00983	CDS	228				hypothetical protein
DEOAGECF_00984	CDS	270				hypothetical protein
DEOAGECF_00985	CDS	774				hypothetical protein
DEOAGECF_00986	CDS	2829	cshA	3.6.4.13		DEAD-box ATP-dependent RNA helicase CshA
DEOAGECF_00987	CDS	891	menH_2	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
DEOAGECF_00988	CDS	822				hypothetical protein
DEOAGECF_00989	CDS	2868				hypothetical protein
DEOAGECF_00990	CDS	1419				hypothetical protein
DEOAGECF_00991	CDS	1347				hypothetical protein
DEOAGECF_00992	CDS	918	araQ_3		COG0395	L-arabinose transport system permease protein AraQ
DEOAGECF_00993	CDS	2262	tagF_1	2.7.8.12	COG1887	Teichoic acid poly(glycerol phosphate) polymerase
DEOAGECF_00994	CDS	2208				hypothetical protein
DEOAGECF_00995	CDS	2235	tagF_2	2.7.8.12	COG1887	Teichoic acid poly(glycerol phosphate) polymerase
DEOAGECF_00996	CDS	1281				hypothetical protein
DEOAGECF_00997	CDS	1596				hypothetical protein
DEOAGECF_00998	CDS	414	ohrB_1		COG1764	Organic hydroperoxide resistance protein OhrB
DEOAGECF_00999	CDS	471	ohrR			Organic hydroperoxide resistance transcriptional regulator
DEOAGECF_01000	CDS	981	galE_1	5.1.3.2	COG1087	UDP-glucose 4-epimerase
DEOAGECF_01001	CDS	1734				hypothetical protein
DEOAGECF_01002	CDS	501				hypothetical protein
DEOAGECF_01003	CDS	627				hypothetical protein
DEOAGECF_01004	CDS	939				hypothetical protein
DEOAGECF_01005	CDS	876	btuD_6	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
DEOAGECF_01006	CDS	2208				hypothetical protein
DEOAGECF_01007	CDS	1686				hypothetical protein
DEOAGECF_01008	CDS	1446				hypothetical protein
DEOAGECF_01009	CDS	4941	gdh_1	1.4.1.2	COG2902	NAD-specific glutamate dehydrogenase
DEOAGECF_01010	CDS	669	gph_2	3.1.3.18		Phosphoglycolate phosphatase
DEOAGECF_01011	CDS	516				hypothetical protein
DEOAGECF_01012	CDS	729				hypothetical protein
DEOAGECF_01013	CDS	2847	secA			Protein translocase subunit SecA
DEOAGECF_01014	CDS	570				hypothetical protein
DEOAGECF_01015	CDS	1176				hypothetical protein
DEOAGECF_01016	CDS	759	degU_2		COG2197	Transcriptional regulatory protein DegU
DEOAGECF_01017	CDS	693	hpf		COG1544	Ribosome hibernation promotion factor
DEOAGECF_01018	CDS	870				hypothetical protein
DEOAGECF_01019	CDS	1839	lpqB			Lipoprotein LpqB
DEOAGECF_01020	CDS	2076	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
DEOAGECF_01021	CDS	678	mtrA		COG0745	DNA-binding response regulator MtrA
DEOAGECF_01022	CDS	1224	drdI	5.3.1.-		5-deoxyribose 1-phosphate isomerase
DEOAGECF_01023	CDS	1365				hypothetical protein
DEOAGECF_01024	CDS	783				hypothetical protein
DEOAGECF_01025	CDS	1221				putative membrane protein
DEOAGECF_01026	CDS	993				hypothetical protein
DEOAGECF_01027	CDS	1311				hypothetical protein
DEOAGECF_01028	CDS	273				hypothetical protein
DEOAGECF_01029	CDS	516				hypothetical protein
DEOAGECF_01030	CDS	2148	glgX_2	3.2.1.-	COG1523	Glycogen operon protein GlgX 
DEOAGECF_01031	CDS	804				hypothetical protein
DEOAGECF_01032	CDS	324				hypothetical protein
DEOAGECF_01033	CDS	792	sigF_3		COG1191	RNA polymerase sigma factor SigF
DEOAGECF_01034	CDS	525				hypothetical protein
DEOAGECF_01035	CDS	936	hemC_1	2.5.1.61	COG0181	Porphobilinogen deaminase
DEOAGECF_01036	CDS	780				hypothetical protein
DEOAGECF_01037	CDS	981	ligD_3		COG1793	Multifunctional non-homologous end joining protein LigD
DEOAGECF_01038	CDS	1455	mdtD_2			Putative multidrug resistance protein MdtD
DEOAGECF_01039	CDS	657				hypothetical protein
DEOAGECF_01040	CDS	381				hypothetical protein
DEOAGECF_01041	CDS	468	bcpB	1.11.1.15	COG1225	Putative peroxiredoxin
DEOAGECF_01042	CDS	2385				hypothetical protein
DEOAGECF_01043	CDS	831		1.-.-.-	COG0656	putative oxidoreductase/MSMEI_2347
DEOAGECF_01044	CDS	978	atsK	1.14.11.-		Alpha-ketoglutarate-dependent sulfate ester dioxygenase
DEOAGECF_01045	CDS	756	clcD	3.1.1.45		Carboxymethylenebutenolidase
DEOAGECF_01046	CDS	621	yciO		COG0009	putative protein YciO
DEOAGECF_01047	CDS	1533				hypothetical protein
DEOAGECF_01048	CDS	1041	adhT_1	1.1.1.1		Alcohol dehydrogenase
DEOAGECF_01049	CDS	162				hypothetical protein
DEOAGECF_01050	CDS	621	linC	1.1.1.-	COG1028	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase
DEOAGECF_01051	CDS	666				hypothetical protein
DEOAGECF_01052	CDS	237				hypothetical protein
DEOAGECF_01053	CDS	1659	katA	1.11.1.6	COG0753	Catalase
DEOAGECF_01054	CDS	888				hypothetical protein
DEOAGECF_01055	CDS	324				hypothetical protein
DEOAGECF_01056	CDS	516				hypothetical protein
DEOAGECF_01057	CDS	1230				hypothetical protein
DEOAGECF_01058	CDS	1002	strE_3	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
DEOAGECF_01059	CDS	810				hypothetical protein
DEOAGECF_01060	CDS	564				hypothetical protein
DEOAGECF_01061	CDS	546				hypothetical protein
DEOAGECF_01062	CDS	492				hypothetical protein
DEOAGECF_01063	CDS	2490	napA	1.9.6.1		Periplasmic nitrate reductase
DEOAGECF_01064	CDS	639		2.3.-.-	COG0454	Putative acetyltransferase OgpAT
DEOAGECF_01065	CDS	726	cpdA_2	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
DEOAGECF_01066	CDS	315				hypothetical protein
DEOAGECF_01067	CDS	711				hypothetical protein
DEOAGECF_01068	CDS	312				hypothetical protein
DEOAGECF_01069	CDS	1185				hypothetical protein
DEOAGECF_01070	CDS	414				hypothetical protein
DEOAGECF_01071	CDS	618				hypothetical protein
DEOAGECF_01072	CDS	867				hypothetical protein
DEOAGECF_01073	CDS	1218	cypC	1.11.2.4	COG2124	Fatty-acid peroxygenase
DEOAGECF_01074	CDS	1716	ctaD_1	1.9.3.1	COG0843	putative cytochrome c oxidase subunit 1
DEOAGECF_01075	CDS	195				hypothetical protein
DEOAGECF_01076	CDS	444				hypothetical protein
DEOAGECF_01077	CDS	1164	alpha-LP_1	3.4.21.12		Alpha-lytic protease
DEOAGECF_01078	CDS	2433				hypothetical protein
DEOAGECF_01079	CDS	501				hypothetical protein
DEOAGECF_01080	CDS	1620	carC_2	1.3.99.26	COG1233	All-trans-zeta-carotene desaturase
DEOAGECF_01081	CDS	921				hypothetical protein
DEOAGECF_01082	CDS	1557	mnmC	2.1.1.61		tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
DEOAGECF_01083	CDS	732	menG_1	2.1.1.163		Demethylmenaquinone methyltransferase
DEOAGECF_01084	CDS	1203				hypothetical protein
DEOAGECF_01085	CDS	1518	crtI	1.3.99.31	COG1233	Phytoene desaturase (lycopene-forming)
DEOAGECF_01086	CDS	999	crtB_2	2.5.1.32	COG1562	15-cis-phytoene synthase
DEOAGECF_01087	CDS	1023				hypothetical protein
DEOAGECF_01088	CDS	483				hypothetical protein
DEOAGECF_01089	CDS	750				hypothetical protein
DEOAGECF_01090	CDS	933				hypothetical protein
DEOAGECF_01091	CDS	540	proP_3			Ectoine/proline transporter ProP
DEOAGECF_01092	CDS	1740				hypothetical protein
DEOAGECF_01093	CDS	1344				putative inactive lipase
DEOAGECF_01094	CDS	615				hypothetical protein
DEOAGECF_01095	CDS	2070	fpuB		COG0609	Petrobactin import system permease protein FpuB
DEOAGECF_01096	CDS	984	fpuA_1		COG0614	Petrobactin-binding protein FpuA
DEOAGECF_01097	CDS	789	fepC_2		COG1120	Ferric enterobactin transport ATP-binding protein FepC
DEOAGECF_01098	CDS	564				hypothetical protein
DEOAGECF_01099	CDS	1179				hypothetical protein
DEOAGECF_01100	CDS	177				hypothetical protein
DEOAGECF_01101	CDS	840				hypothetical protein
DEOAGECF_01102	CDS	642	lacA	2.3.1.18	COG0110	Galactoside O-acetyltransferase
DEOAGECF_01103	CDS	2052				hypothetical protein
DEOAGECF_01104	CDS	2046	beta-galIII	3.2.1.23		Beta-galactosidase III
DEOAGECF_01105	CDS	1341				hypothetical protein
DEOAGECF_01106	CDS	954	araQ_4		COG0395	L-arabinose transport system permease protein AraQ
DEOAGECF_01107	CDS	924	lacF_2			Lactose transport system permease protein LacF
DEOAGECF_01108	CDS	987	lacI		COG1609	Lactose operon repressor
DEOAGECF_01109	CDS	1803	ydaP		COG0028	Putative thiamine pyrophosphate-containing protein YdaP
DEOAGECF_01110	CDS	1125				hypothetical protein
DEOAGECF_01111	CDS	798				hypothetical protein
DEOAGECF_01112	CDS	1110	tdh_1	1.1.1.103	COG1063	L-threonine 3-dehydrogenase
DEOAGECF_01113	CDS	402				hypothetical protein
DEOAGECF_01114	CDS	1224	ncsB3_1	1.14.15.31		2-hydroxy-5-methyl-1-naphthoate 7-hydroxylase
DEOAGECF_01115	CDS	1233	pksS	1.14.-.-	COG2124	Polyketide biosynthesis cytochrome P450 PksS
DEOAGECF_01116	CDS	618				hypothetical protein
DEOAGECF_01117	CDS	348				hypothetical protein
DEOAGECF_01118	CDS	207				hypothetical protein
DEOAGECF_01119	CDS	849				hypothetical protein
DEOAGECF_01120	CDS	585				hypothetical protein
DEOAGECF_01121	CDS	1506				Nucleobase transporter PlUacP
DEOAGECF_01122	CDS	1422	mtaD_1	3.5.4.28	COG0402	5-methylthioadenosine/S-adenosylhomocysteine deaminase
DEOAGECF_01123	CDS	711				hypothetical protein
DEOAGECF_01124	CDS	1041	degA_1		COG1609	HTH-type transcriptional regulator DegA
DEOAGECF_01125	CDS	2403	nagJ	3.2.1.169		O-GlcNAcase NagJ
DEOAGECF_01126	CDS	378				hypothetical protein
DEOAGECF_01127	CDS	621				hypothetical protein
DEOAGECF_01128	CDS	1233				hypothetical protein
DEOAGECF_01129	CDS	675	liaR_1		COG2197	Transcriptional regulatory protein LiaR
DEOAGECF_01130	CDS	1341				hypothetical protein
DEOAGECF_01131	CDS	1788				hypothetical protein
DEOAGECF_01132	CDS	2121				hypothetical protein
DEOAGECF_01133	CDS	1740				hypothetical protein
DEOAGECF_01134	CDS	642				hypothetical protein
DEOAGECF_01135	CDS	1083	tdh_2	1.1.1.103		L-threonine 3-dehydrogenase
DEOAGECF_01136	CDS	150				hypothetical protein
DEOAGECF_01137	CDS	1302	phy	3.1.3.8	COG4247	3-phytase
DEOAGECF_01138	CDS	927	SIRT4	2.3.1.286		NAD-dependent protein lipoamidase sirtuin-4, mitochondrial
DEOAGECF_01139	CDS	846				hypothetical protein
DEOAGECF_01140	CDS	900				hypothetical protein
DEOAGECF_01141	CDS	408				hypothetical protein
DEOAGECF_01142	CDS	1014				hypothetical protein
DEOAGECF_01143	CDS	651	pcp	3.4.19.3	COG2039	Pyrrolidone-carboxylate peptidase
DEOAGECF_01144	CDS	975				hypothetical protein
DEOAGECF_01145	CDS	720				hypothetical protein
DEOAGECF_01146	CDS	753	pxpA	3.5.2.9		5-oxoprolinase subunit A
DEOAGECF_01147	CDS	663				hypothetical protein
DEOAGECF_01148	CDS	858	pxpC	3.5.2.9	COG1984	5-oxoprolinase subunit C
DEOAGECF_01149	CDS	1083		3.4.11.25		Beta-peptidyl aminopeptidase BapA
DEOAGECF_01150	CDS	915				hypothetical protein
DEOAGECF_01151	CDS	1524	fprB	1.18.1.2	COG0493	putative ferredoxin/ferredoxin--NADP reductase
DEOAGECF_01152	CDS	783	viuB_1		COG2375	Vibriobactin utilization protein ViuB
DEOAGECF_01153	CDS	1560	puuP_1		COG0531	Putrescine importer PuuP
DEOAGECF_01154	CDS	1029				hypothetical protein
DEOAGECF_01155	CDS	831			COG1366	putative protein
DEOAGECF_01156	CDS	1827	bga	3.2.1.23		Beta-galactosidase
DEOAGECF_01157	CDS	1041	rbsR_2		COG1609	Ribose operon repressor
DEOAGECF_01158	CDS	681				hypothetical protein
DEOAGECF_01159	CDS	3330		3.2.1.97		Endo-alpha-N-acetylgalactosaminidase
DEOAGECF_01160	CDS	615				hypothetical protein
DEOAGECF_01161	CDS	1047	gpr_1	1.1.1.-	COG0667	L-glyceraldehyde 3-phosphate reductase
DEOAGECF_01162	CDS	891	yghA_1	1.-.-.-		putative oxidoreductase YghA
DEOAGECF_01163	CDS	663			COG1926	putative protein
DEOAGECF_01164	CDS	684			COG1926	Putative phosphoribosyl transferase
DEOAGECF_01165	CDS	276				hypothetical protein
DEOAGECF_01166	CDS	804				hypothetical protein
DEOAGECF_01167	CDS	831				putative protein
DEOAGECF_01168	CDS	249				hypothetical protein
DEOAGECF_01169	CDS	621				hypothetical protein
DEOAGECF_01170	CDS	2313		1.-.-.-	COG0243	putative oxidoreductase
DEOAGECF_01171	CDS	687				hypothetical protein
DEOAGECF_01172	CDS	1215	ywiE	2.7.8.-	COG1502	putative cardiolipin synthase YwiE
DEOAGECF_01173	CDS	498				hypothetical protein
DEOAGECF_01174	CDS	423				hypothetical protein
DEOAGECF_01175	CDS	924				hypothetical protein
DEOAGECF_01176	CDS	294				hypothetical protein
DEOAGECF_01177	CDS	1896				hypothetical protein
DEOAGECF_01178	CDS	534		2.3.1.-	COG1670	Acetyltransferase
DEOAGECF_01179	CDS	492				hypothetical protein
DEOAGECF_01180	CDS	1548				hypothetical protein
DEOAGECF_01181	CDS	855				hypothetical protein
DEOAGECF_01182	CDS	1422	csbC			putative metabolite transport protein CsbC
DEOAGECF_01183	CDS	852				hypothetical protein
DEOAGECF_01184	CDS	1032	ccpA_2		COG1609	Catabolite control protein A
DEOAGECF_01185	CDS	711	gbpA_1			GlcNAc-binding protein A
DEOAGECF_01186	CDS	1401	gatA_1	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
DEOAGECF_01187	CDS	216				hypothetical protein
DEOAGECF_01188	CDS	300				hypothetical protein
DEOAGECF_01189	CDS	429				hypothetical protein
DEOAGECF_01190	CDS	2433	pepN_1	3.4.11.2		Aminopeptidase N
DEOAGECF_01191	CDS	444				hypothetical protein
DEOAGECF_01192	CDS	873	pdxI	1.1.1.65		Pyridoxine 4-dehydrogenase
DEOAGECF_01193	CDS	972				hypothetical protein
DEOAGECF_01194	CDS	831	cpo_1	1.11.1.10		Non-heme chloroperoxidase
DEOAGECF_01195	CDS	990	cdhR_2		COG4977	HTH-type transcriptional regulator CdhR
DEOAGECF_01196	CDS	639				hypothetical protein
DEOAGECF_01197	CDS	765	mshB_1	3.5.1.103		1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase
DEOAGECF_01198	CDS	645				hypothetical protein
DEOAGECF_01199	CDS	729				hypothetical protein
DEOAGECF_01200	CDS	894				hypothetical protein
DEOAGECF_01201	CDS	1578	nfdA_2	3.5.1.91		N-substituted formamide deformylase
DEOAGECF_01202	CDS	213	mbtH_1		COG3251	Protein MbtH
DEOAGECF_01203	CDS	333				hypothetical protein
DEOAGECF_01204	CDS	693	cpnA_1	1.1.1.163		Cyclopentanol dehydrogenase
DEOAGECF_01205	CDS	324				hypothetical protein
DEOAGECF_01206	CDS	825	cpo_2	1.11.1.10		Non-heme chloroperoxidase
DEOAGECF_01207	CDS	2784				hypothetical protein
DEOAGECF_01208	CDS	870				hypothetical protein
DEOAGECF_01209	CDS	717	cpnA_2	1.1.1.163		Cyclopentanol dehydrogenase
DEOAGECF_01210	CDS	429				hypothetical protein
DEOAGECF_01211	CDS	411				hypothetical protein
DEOAGECF_01212	CDS	360				hypothetical protein
DEOAGECF_01213	CDS	156				hypothetical protein
DEOAGECF_01214	CDS	1458	tgnC_1	1.2.1.-	COG1012	(Z)-2-((N-methylformamido)methylene)-5-hydroxybutyrolactone dehydrogenase
DEOAGECF_01215	CDS	1044				hypothetical protein
DEOAGECF_01216	CDS	105				hypothetical protein
DEOAGECF_01217	CDS	474		1.14.99.54		Lytic cellulose monooxygenase
DEOAGECF_01218	CDS	420	panD	4.1.1.11	COG0853	Aspartate 1-decarboxylase
DEOAGECF_01219	CDS	345				hypothetical protein
DEOAGECF_01220	CDS	639				hypothetical protein
DEOAGECF_01221	CDS	1440	gndA	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, NADP(+)-dependent, decarboxylating
DEOAGECF_01222	CDS	1308				hypothetical protein
DEOAGECF_01223	CDS	1116				hypothetical protein
DEOAGECF_01224	CDS	864				hypothetical protein
DEOAGECF_01225	CDS	1170	glgM	2.4.1.342	COG0438	Alpha-maltose-1-phosphate synthase
DEOAGECF_01226	CDS	1200	glgC	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
DEOAGECF_01227	CDS	2619	lacZ_1	3.2.1.23		Beta-galactosidase
DEOAGECF_01228	CDS	1341		2.3.1.20		Putative diacyglycerol O-acyltransferase
DEOAGECF_01229	CDS	1503				hypothetical protein
DEOAGECF_01230	CDS	444				hypothetical protein
DEOAGECF_01231	CDS	177				hypothetical protein
DEOAGECF_01232	CDS	483				hypothetical protein
DEOAGECF_01233	CDS	1344	amiB2	3.5.1.4	COG0154	Putative amidase AmiB2
DEOAGECF_01234	CDS	3027				hypothetical protein
DEOAGECF_01235	CDS	1404				hypothetical protein
DEOAGECF_01236	CDS	2091				hypothetical protein
DEOAGECF_01237	CDS	864	mutM	4.2.99.18		Formamidopyrimidine-DNA glycosylase
DEOAGECF_01238	CDS	654				hypothetical protein
DEOAGECF_01239	CDS	516				hypothetical protein
DEOAGECF_01240	CDS	678				hypothetical protein
DEOAGECF_01241	CDS	1155				hypothetical protein
DEOAGECF_01242	CDS	474				hypothetical protein
DEOAGECF_01243	CDS	816	catD_2	3.1.1.24	COG0596	3-oxoadipate enol-lactonase 2
DEOAGECF_01244	CDS	1416	yhdG_1		COG0531	putative amino acid permease YhdG
DEOAGECF_01245	CDS	462				hypothetical protein
DEOAGECF_01246	CDS	837				hypothetical protein
DEOAGECF_01247	CDS	666				hypothetical protein
DEOAGECF_01248	CDS	495				hypothetical protein
DEOAGECF_01249	CDS	522				hypothetical protein
DEOAGECF_01250	CDS	765				hypothetical protein
DEOAGECF_01251	CDS	216				hypothetical protein
DEOAGECF_01252	CDS	951				hypothetical protein
DEOAGECF_01253	CDS	813				hypothetical protein
DEOAGECF_01254	CDS	2148				hypothetical protein
DEOAGECF_01255	CDS	885	gltC_1			HTH-type transcriptional regulator GltC
DEOAGECF_01256	CDS	672				hypothetical protein
DEOAGECF_01257	CDS	1950	frdA	1.3.5.4		Fumarate reductase flavoprotein subunit
DEOAGECF_01258	CDS	750	frdB_1	1.3.5.1	COG0479	Fumarate reductase iron-sulfur subunit
DEOAGECF_01259	CDS	771				hypothetical protein
DEOAGECF_01260	CDS	843				hypothetical protein
DEOAGECF_01261	CDS	894				hypothetical protein
DEOAGECF_01262	CDS	2376	uvrA_3		COG0178	UvrABC system protein A
DEOAGECF_01263	CDS	1011				hypothetical protein
DEOAGECF_01264	CDS	492				hypothetical protein
DEOAGECF_01265	CDS	216			COG3360	Dodecin
DEOAGECF_01266	CDS	1260	dasA_2		COG1653	Diacetylchitobiose binding protein DasA
DEOAGECF_01267	CDS	963	egtD	2.1.1.44	COG4301	Histidine N-alpha-methyltransferase
DEOAGECF_01268	CDS	801	egtC_1	3.5.1.118	COG0121	Gamma-glutamyl-hercynylcysteine sulfoxide hydrolase
DEOAGECF_01269	CDS	1380	egtB	1.14.99.50	COG1262	Hercynine oxygenase
DEOAGECF_01270	CDS	1302	egtA	6.3.2.2	COG3572	Glutamate--cysteine ligase EgtA
DEOAGECF_01271	CDS	840				hypothetical protein
DEOAGECF_01272	CDS	492				hypothetical protein
DEOAGECF_01273	CDS	891	garR_3	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
DEOAGECF_01274	CDS	426				hypothetical protein
DEOAGECF_01275	CDS	450				hypothetical protein
DEOAGECF_01276	CDS	1257				hypothetical protein
DEOAGECF_01277	CDS	879		3.8.1.3	COG0596	Fluoroacetate dehalogenase
DEOAGECF_01278	CDS	1902				hypothetical protein
DEOAGECF_01279	CDS	444				hypothetical protein
DEOAGECF_01280	CDS	426	hrp1_2		COG0517	Hypoxic response protein 1
DEOAGECF_01281	CDS	345				hypothetical protein
DEOAGECF_01282	CDS	1017	sigB		COG0568	RNA polymerase sigma factor SigB
DEOAGECF_01283	CDS	1428				hypothetical protein
DEOAGECF_01284	CDS	1224				hypothetical protein
DEOAGECF_01285	CDS	957			COG0861	putative membrane protein
